Company,Address,Website,Business Type,Industry,Offer,Products,Email Address,Phone Number,Types of Workers Needed,Ratings of workers,Date Accessed,
ADVANTAX ACCOUNTANTS LTD,LONDON,,,Others,,,,,Skilled Worker,Worker (A rating),13-May-21,
Advantech Europe BV UK Branch,London,,,Others,,,,, Intra-company Routes,Worker (A rating),14-Sep-20,
Advantech Surgical Ltd,Torquay,,,Others,,,,, Skilled Worker,Worker (A rating),25-Feb-19,
Advantix Limited,Northwood,,,Management,,,,, Skilled Worker,Worker (A rating),21-Jan-20,
Advatech Healthcare Europe Ltd,Benfleet,,,Dental,,,,,Skilled Worker,Worker (A rating),6-Aug-21,
Adveniunt Medical International Limited,London,,,Social Work,,,,, Skilled Worker,Worker (A rating),24-Oct-13,
Advent Bioservices,Cambridge,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
Advent Data Solutions Ltd,Stanmore,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),8-Jul-14,
Advent Estates Ltd,Hereford,,,Real estate,,,,,Skilled Worker GKKKVTV96,Worker (A rating),8-Jun-21,
Advent International Ltd,London,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",3-Mar-20,
Adventure Investment Consultancy Ltd,London,,,Real estate,,,,,Skilled Worker,Worker (A rating),2-Sep-21,
Adventure Leadership Training Trust,Bangor,,,Travel and Tourism,,,,, Voluntary Workers,Temporary Worker (A rating),15-May-17,
Adventure Pictures Ltd,London,,,Video or Music Production,,,,, Creative & Sporting,Temporary Worker (A rating),14-Apr-16,
ADVERTTU LIMITED,LONDON,,,Advertising,,,,, Skilled Worker,Worker (A rating),20-Feb-20,
ADVFN PLC,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),21-Jun-19,
Advice Cloud Limited,Brighton,,,Management,,,,,Skilled Worker,Worker (A rating),24-Feb-21,
Advinia Care Homes,Finchley,,,Care Home,,,,, Skilled Worker,Worker (A rating),7-Aug-18,
ADVIZZO,London,,,Others,,,,, Skilled Worker,Worker (A rating),9-Jun-17,
Advokatfirmaet Kromann Reumert,London,,,Others,,,,, Skilled Worker,Worker (A rating),16-Apr-19,
Advokatfirmaet Thommessen AS,London,,,Others,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",12-Aug-21,
Adyen UK Limited,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),2-Feb-18,
AE Portsoken Asset Management Ltd,Hampstead,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",9-Jan-19,
AEA Consulting Worldwide Ltd,London,,,Management,,,,, Skilled Worker,Worker (A rating),8-Sep-17,
AEA Investors (UK) LLP,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",11-Nov-13,
AEC SYSTEMS LTD,London,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
AECC University College,Bournemouth,,,Education,,,,, Skilled Worker,Worker (A rating),29-Nov-17,
AECOM LIMITED,London,,,Architecture,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Aedas Interiors London Limited,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",13-Feb-14,
Aedas London Limited,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",2-Aug-18,
AEG Fuels UK Limited,West Sussex,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Mar-19,
AEG Presents Ltd,London,,,Administrative and support,,,,," Creative & Sporting, Skilled Worker, Intra-company Routes","Temporary Worker (A rating),Worker (A rating),Worker (A rating)",23-Jun-17,
Aegg Limited,Andover,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),31-Jul-20,
Aegila Capital Management Limited,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),28-Nov-19,
AEGIS Engineering Systems (AES) Ltd,Derby,,,Management,,,,, Skilled Worker,Worker (A rating),12-Oct-20,
Aegis Trust,Nottingham,,,Education,,,,,"Voluntary Workers GMF8YQMR7,Skilled Worker GMF8YQMR7,Intra-company Routes GMF8YQMR7","Temporary Worker (A rating),Worker (A rating),Worker (A rating)",15-Jun-21,
Aegis Vision Limited,London,,,Wholesale & Retail,,,,," Creative & Sporting, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",4-Jun-17,
AEGON UK PLC,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
AEI Group LTD,London,,,"Arts ,Entertainment",,,,, Skilled Worker,Worker (A rating),20-Apr-18,
Aelfgar Surgery,Rugeley,,,Others,,,,,Skilled Worker,Worker (A rating),9-Aug-21,
AEO Trading Ltd,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),7-Jun-14,
AEON Engineering Ltd,Newcastle Under Lyme,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),30-Jan-20,
Aeorema Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),18-Mar-19,
AEP UK LTD,Northampton,,,Recruitment,,,,, Skilled Worker,Worker (A rating),12-Oct-20,
Aequitas Consulting Limited,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),16-Oct-17,
Aera Technology Limited,London,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),26-Aug-21,
Aerial Days Limited,London,,,Education,,,,, Skilled Worker,Worker (A rating),15-Sep-20,
Aerial Edge Circus Schools Ltd,Glasgow,,,Others,,,,, Creative & Sporting,Temporary Worker (A rating),29-Jun-16,
Aeristech Limited,"Leamington Spa,",,,Management,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Aermont Capital LLP,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Oct-16,
AERO HEALTHCARE LTD,HORSHAM,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
Aeromet International Limited,Sittingbourne,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),10-Jul-18,
Aerona Software Systems Ltd,Derry/Londonderry,,,Others,,,,, Skilled Worker,Worker (A rating),15-Apr-19,
Aeroservices Ltd,Leeds,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Aerospace Engineering Solutions Ltd,"Braintree,",,,Transportation & Storage,,,,, Skilled Worker,Worker (A rating),28-Feb-20,
Aerospace Technology Institute,London,,,Management,,,,,Skilled Worker,Worker (A rating),16-Mar-21,
Aerospares 2000 Ltd,Watford,,,Transportation & Storage,,,,,Skilled Worker,Worker (A rating),18-May-21,
Aerotek Aviation Engineering Limited,Poole,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),4-Jul-15,
AEROTEK DESIGN LIMITED,BRISTOL,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),24-Oct-13,
AeroTex UK LLP,Farnborough,,,Others,,,,,Skilled Worker,Worker (A rating),11-Aug-21,
Aerotrope Limited,Brighton,,,Architecture,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
AESG Ltd,City of London,,,Architecture,,,,, Skilled Worker,Worker (A rating),5-Nov-19,
Aesica Queenborough Limited,Kent,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),24-Feb-14,
Aesop UK Limited,London,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",3-May-14,
AESSEAL plc,Rotherham,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
AET UK Ltd,London,,,Transportation & Storage,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Aetha Consulting Limited,Cambridge,,,Management,,,,, Skilled Worker,Worker (A rating),9-Nov-16,
Aethel Partners LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),26-Apr-19,
Aethersys Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),3-Dec-13,
AETN UK,London,,,"IT,Telecommunication",,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Aetna Global Benefits UK Ltd,Farnborough,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",28-May-15,
AEW Europe LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
AF Management Ltd,Liverpool,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),19-Nov-20,
A-FAX HOLDINGS LTD.,Elland,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",19-Sep-19,
AFC Bournemouth Limited,Bournemouth,,,"Arts ,Entertainment",,,,," T2 Sportsperson, Creative & Sporting","Worker (A rating),Temporary Worker (A rating)",8-Dec-16,
AFC Energy PLC,Cranleigh,,,Scientific Research,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
AFENEL LIMITED,LONDON,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),7-Jan-20,
AFerry Limited,Sutton Courtenay,,,Travel and Tourism,,,,, Skilled Worker,Worker (A rating),31-May-18,
Affection Care Services Ltd,Bucks,,,Social Work,,,,,Skilled Worker,Worker (A rating),8-Sep-21,
Affectv Ltd,London,,,Advertising,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",1-Oct-18,
Affiliated Engineers Limited,Northampton,,,Construction,,,,, Intra-company Routes,Worker (A rating),23-Aug-16,
Affiliated Managers Group Limited,London,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Affinity (Shipping) LLP,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",13-Nov-15,
AFFINITY (UK) LIMITED,CORBY,,,Legal,,,,,Skilled Worker,Worker (A rating),9-Apr-21,
Affinity Fire Engineering (UK) Ltd,London,,,Architecture,,,,, Skilled Worker,Worker (A rating),6-Jan-20,
Affirmative Investment Management Partners Limited,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),22-Mar-16,
Affluent Technology Limited,Coventry,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
AFGLOBAL UK LIMITED,Wirral,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",30-Aug-16,
AFH Stores UK Limited,London,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",8-Jul-19,
AFI Uplift Ltd,Castle Donington,,,Rental,,,,, Skilled Worker,Worker (A rating),2-Nov-18,
Afiniti Europe Technologies Limited,London,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",18-Dec-17,
AFK Creators Ltd,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),14-Jul-20,
AFL Telecommunications Europe Ltd,Swindon,,,Manufacturing,,,,, Intra-company Routes,Worker (A rating),18-Dec-18,
Aflex Hose Limited,Huddersfield,,,Manufacturing,,,,, Intra-company Routes,Worker (A rating),14-Jul-20,
Aflex Limited,Potters Bar,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),16-Oct-19,
"Aflorithmic Labs, Ltd.",London,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),22-Mar-21,
Afon Technology Ltd,Caldicot,,,"Finance,Insurance",,,,,Skilled Worker,Worker (A rating),28-Jul-21,
AFP Assets Limited,London,,,"Finance,Insurance",,,,,Skilled Worker,Worker (A rating),24-Aug-21,
AFREEN SPICE LIMITED T/A,Gloucestershire,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),23-Aug-21,
AFRICA ADVOCACY FOUNDATION,London,,,Others,,,,, Voluntary Workers,Temporary Worker (A rating),28-Jan-19,
Africa Capitalworks Advisor LLP,London,,,Others,,,,,Skilled Worker RY5Y26874,Worker (A rating),21-Jun-21,
Africa Matters Limited,London,,,Management,,,,, Skilled Worker,Worker (A rating),31-Jul-14,
Africa Mobile Networks Limited,Milton Keynes,,,Others,,,,, Skilled Worker,Worker (A rating),20-Mar-19,
Africa Oil UK Limited,London,,,Mining and Quarrying,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",1-Oct-19,
Africa Services International,Bristol,,,Religious,,,,, T2 Minister of Religion,Worker (A rating),16-Dec-15,
Africa Sports Content Syndicate Ltd,London,,,Advertising,,,,, Skilled Worker,Worker (A rating),27-Feb-15,
African Centre for Development and Research,Brighton,,,Others,,,,," Voluntary Workers, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",16-Jun-20,
African Cultural Exchange t/a ACE dance and music,Birmingham,,,Others,,,,, Creative & Sporting,Temporary Worker (A rating),4-Aug-13,
African Culture Arts and Sport Network,Romford,,,Others,,,,, Creative & Sporting,Temporary Worker (A rating),4-Aug-13,
African Octopus Limited,Deeside,,,Management,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
Africell UK Ltd,London,,,Administrative and support,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",25-Sep-20,
AFRIMEX (UK) LIMITED,Borehamwood,,,Management,,,,,Skilled Worker,Worker (A rating),16-Mar-21,
Afriqiyah Airways Limited,West Sussex,,,Transportation & Storage,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Afro Foods Limited,London,,,Wholesale & Retail,,,,,Skilled Worker C5NB1DCR8,Worker (A rating),21-Jun-21,
AFRO INNOVATION GROUP,LEICESTER,,,Others,,,,,Voluntary Workers,Temporary Worker (A rating),15-Feb-21,
Afro-Asian Insurance Services Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),16-Jun-14,
AFRODITI KRASSA LTD,London,,,Management,,,,, Skilled Worker,Worker (A rating),12-Sep-18,
AFROZE UK LIMITED,London,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",5-Oct-16,
Afs Fashion Ltd,Barking,,,Wholesale & Retail,,,,,Skilled Worker G7C2H7DQ7,Worker (A rating),8-Jun-21,
Afsana London Limited T/A Al Hikma,London,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Afta Tours Limited,Harrow,,,Transportation & Storage,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Afterskills Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),8-Oct-20,
AFTON CHEMICAL LIMITED,BRACKNELL,,,Scientific Research,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
AFX Markets Ltd,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),2-Jul-18,
AG CAPITAL INVESTMENTS LTD,London,,,Real estate,,,,, Skilled Worker,Worker (A rating),31-Dec-20,
AG Consultancy & Apps Ltd,Slough,,,Others,,,,, Skilled Worker,Worker (A rating),18-Mar-19,
AG GLOBAL TRADING LIMITED,WEMBLEY,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),10-Sep-21,
AG GRID LTD,London,,,Others,,,,, Skilled Worker,Worker (A rating),9-Jan-19,
AG Instruments Ltd,Warwick,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),12-Aug-21,
AG Propinvest Ltd.,London,,,Construction,,,,,Skilled Worker,Worker (A rating),16-Mar-21,
AG Recruitment & Management Ltd,Faversham,,,Administrative and support,,,,,Seasonal Worker,Temporary Worker (A rating),26-Apr-21,
AG Surveying Limited,Ware,,,Construction,,,,, Skilled Worker,Worker (A rating),7-Dec-18,
AG Technologies LTD,London,,,Civil Engineering,,,,,Skilled Worker,Worker (A rating),17-Mar-21,
AG Thames,Crayford,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
AG Worldwide Missions,Bristol,,,Religious,,,,,"T2 Minister of Religion,Religious Worker,Voluntary Workers","Worker (A rating),Temporary Worker (A rating),Temporary Worker (A rating)",7-Apr-21,
AGA ACCOUNTANTS LIMITED,ILFORD,,,Legal,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Aga Khan Foundation (United Kingdom),London,,,Social Work,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Agape Care Solutions Ltd,POOLE,,,Social Work,,,,,Skilled Worker,Worker (A rating),3-Mar-21,
AGAPE INTERNATIONAL CHRISTIAN CENTRE,BRADFORD,,,Others,,,,," T2 Minister of Religion, Religious Worker","Worker (A rating),Temporary Worker (A rating)",23-Aug-17,
Agape International End Times Calling,New Malden,,,Others,,,,," T2 Minister of Religion, Religious Worker, Voluntary Workers","Worker (A rating),Temporary Worker (A rating),Temporary Worker (A rating)",18-Aug-13,
Agape Ministries Ltd,Birmingham,,,Religious,,,,," T2 Minister of Religion, Religious Worker","Worker (A rating),Temporary Worker (A rating)",4-Aug-13,
A-GAS (ORB) LIMITED,PORTBURY WEST,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",31-Oct-14,
Agasco Limited,Cheltenham,,,Others,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
"AGC Chemicals Europe, Ltd.",Thornton Cleveleys,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",30-Dec-20,
AGC EQUITY PARTNERS LTD,LONDON,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Agco Limited,Stoneleigh,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Agden Consulting Limited,Sheffiled,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),22-Sep-20,
AgDevCo Limited,London,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",8-Sep-20,
AGDP HOLDINGS LIMITED,Huntly,,,Dental,,,,, Skilled Worker,Worker (A rating),4-Dec-17,
Age NI,Belfast,,,Care Home,,,,,"Skilled Worker,Voluntary Workers","Worker (A rating),Temporary Worker (A rating)",9-Apr-21,
Ageas Insurance Limited,Eastleigh,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),10-Jul-17,
AGEMA ENGINEERING LTD,COVENTRY,,,Architecture,,,,, Skilled Worker,Worker (A rating),27-Aug-13,
Agence France- Presse,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),23-Mar-16,
Agency Delta Ltd,London,,,Management,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Agency Inc Ltd,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),19-Jan-15,
Agency Management Ltd.,Berkhamsted,,,Management,,,,," Creative & Sporting, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",21-Jun-17,
AGENCY SOFTWARE WORLDWIDE LTD,HADLOW,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),6-Sep-13,
Agenda 21 Architects Studio Ltd,London,,,Architecture,,,,, Skilled Worker,Worker (A rating),29-Nov-19,
Agenor Technology Ltd,Edinburgh,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),13-Jan-16,
Agents For Accounting Ltd,London,,,Legal,,,,, Skilled Worker,Worker (A rating),4-Oct-17,
Agents' Mutual Ltd,London,,,"IT,Telecommunication",,,,, Skilled Worker,Worker (A rating),26-Aug-15,
Agenus UK Limited,Cambridge,,,Administrative and support,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",24-Jul-17,
AGENZIA 14 (INTERNATIONAL) LIMITED,Stockport,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),28-Aug-20,
AgeWage Limited,Borehamwood,,,Others,,,,,Skilled Worker,Worker (A rating),31-Mar-21,
Agfa NV,Ilkeston,,,Others,,,,,Skilled Worker,Worker (A rating),5-Mar-21,
AgFe Management Limited,London,,,Management,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
aggregate developments ltd,cheltenham,,,Real estate,,,,," T2 Sportsperson, Creative & Sporting","Worker (A rating),Temporary Worker (A rating)",4-Aug-13,
Aggregate Industries UK Ltd,Markfield,,,Civil Engineering,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Aggreko UK Limited,Cannock,,,Rental,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
AGI World Ltd T/as Spark,London,,,Others,,,,, Skilled Worker,Worker (A rating),27-Feb-18,
AGIC UK Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),21-Feb-19,
Agile Analog Limited,Cambridge,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),13-May-19,
Agile Business Consortium,Ashford,,,Publishing,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
